"","symbol","date","open","high","low","close","volume","adjusted"
"215","AAPL",2000-11-06,0.40067,0.404018,0.372768,0.382813,393478400,0.327312
"216","AAPL",2000-11-07,0.383929,0.389509,0.371652,0.38058,301963200,0.325403
"217","AAPL",2000-11-08,0.381696,0.382813,0.353795,0.358259,422088800,0.306318
"218","AAPL",2000-11-09,0.354911,0.366071,0.340402,0.360491,476834400,0.308226
"219","AAPL",2000-11-10,0.345703,0.354911,0.340402,0.340402,422251200,0.29105
"220","AAPL",2000-11-13,0.334821,0.357143,0.325893,0.345982,431816000,0.295821
"221","AAPL",2000-11-14,0.356027,0.366071,0.34933,0.361607,409001600,0.30918
"222","AAPL",2000-11-15,0.357701,0.360491,0.34375,0.354911,282357600,0.303455
"223","AAPL",2000-11-16,0.348214,0.353795,0.337054,0.339286,239372000,0.290096
"224","AAPL",2000-11-17,0.342634,0.34375,0.325893,0.330357,446180000,0.282461
"225","AAPL",2000-11-20,0.332031,0.348214,0.325893,0.33817,408066400,0.289141
"226","AAPL",2000-11-21,0.342634,0.348214,0.334821,0.335938,301952000,0.287233
"227","AAPL",2000-11-22,0.335938,0.341518,0.328125,0.330357,280532000,0.282461
"228","AAPL",2000-11-24,0.336775,0.348214,0.335938,0.344866,160932800,0.294867
"229","AAPL",2000-11-27,0.354911,0.356027,0.330357,0.333705,258792800,0.285324
"230","AAPL",2000-11-28,0.333705,0.339286,0.320313,0.321987,269124800,0.275305
"231","AAPL",2000-11-29,0.323103,0.327009,0.308036,0.313616,492150400,0.268147
"232","AAPL",2000-11-30,0.297991,0.303571,0.287946,0.294643,809597600,0.251925
"233","AAPL",2000-12-01,0.303571,0.3125,0.300223,0.304688,385705600,0.260514
"234","AAPL",2000-12-04,0.30692,0.30692,0.293527,0.297991,371520800,0.254788
"235","AAPL",2000-12-05,0.302455,0.311384,0.292411,0.303571,613978400,0.259559
"236","AAPL",2000-12-06,0.261161,0.267857,0.25,0.25558,1374464000,0.218525
"237","AAPL",2000-12-07,0.257813,0.265625,0.25,0.25558,408917600,0.218525
"238","AAPL",2000-12-08,0.264509,0.273438,0.257813,0.268973,435624000,0.229977
"239","AAPL",2000-12-11,0.271205,0.274554,0.265625,0.271205,332511200,0.231885
"240","AAPL",2000-12-12,0.272321,0.285714,0.267857,0.274554,386260000,0.234749
"241","AAPL",2000-12-13,0.277902,0.277902,0.265625,0.267857,344887200,0.229023
"242","AAPL",2000-12-14,0.268415,0.272321,0.257813,0.257813,263317600,0.220435
"243","AAPL",2000-12-15,0.260045,0.262277,0.25,0.251116,513945600,0.214709
"244","AAPL",2000-12-18,0.260045,0.261161,0.248884,0.254464,325808000,0.217571
"245","AAPL",2000-12-19,0.256696,0.272321,0.25,0.25,374007200,0.213754
"246","AAPL",2000-12-20,0.246094,0.261161,0.243304,0.256696,565331200,0.21948
"247","AAPL",2000-12-21,0.254464,0.267857,0.247768,0.251116,366844800,0.214709
"248","AAPL",2000-12-22,0.252232,0.267857,0.252232,0.267857,318052000,0.229023
"249","AAPL",2000-12-26,0.265625,0.267857,0.254464,0.262277,216815200,0.224252
"250","AAPL",2000-12-27,0.256138,0.264509,0.253348,0.264509,325466400,0.22616
"251","AAPL",2000-12-28,0.256696,0.266741,0.25558,0.264509,305177600,0.22616
"252","AAPL",2000-12-29,0.262277,0.267857,0.258929,0.265625,630336000,0.227114
"253","AAPL",2001-01-02,0.265625,0.272321,0.260045,0.265625,452312000,0.227114
"254","AAPL",2001-01-03,0.258929,0.297991,0.257813,0.292411,817073600,0.250017
"255","AAPL",2001-01-04,0.32394,0.330357,0.300223,0.304688,739396000,0.260514
"256","AAPL",2001-01-05,0.302455,0.310268,0.28683,0.292411,412356000,0.250017
"257","AAPL",2001-01-08,0.302455,0.303292,0.284598,0.295759,373699200,0.252879
"258","AAPL",2001-01-09,0.300223,0.315011,0.295759,0.30692,588929600,0.262422
"259","AAPL",2001-01-10,0.297991,0.303571,0.28683,0.295759,580781600,0.252879
"260","AAPL",2001-01-11,0.290179,0.330357,0.290179,0.321429,803734400,0.274828
"261","AAPL",2001-01-12,0.319196,0.321429,0.304688,0.30692,423376800,0.262422
"262","AAPL",2001-01-16,0.311384,0.325893,0.303571,0.305804,306118400,0.261468
"263","AAPL",2001-01-17,0.313616,0.313616,0.294643,0.300223,840873600,0.256696
"264","AAPL",2001-01-18,0.31808,0.334821,0.314732,0.333705,1227010400,0.285324
"265","AAPL",2001-01-19,0.347098,0.34933,0.333705,0.348214,776664000,0.297729
"266","AAPL",2001-01-22,0.340402,0.350446,0.329241,0.34375,519327200,0.293913
"267","AAPL",2001-01-23,0.344866,0.373884,0.340402,0.366071,879530400,0.312997
"268","AAPL",2001-01-24,0.368304,0.36942,0.34933,0.366071,717091200,0.312997
"269","AAPL",2001-01-25,0.367188,0.367188,0.352679,0.356027,489708800,0.304409
"270","AAPL",2001-01-26,0.348214,0.353795,0.340402,0.34933,482820800,0.298683
"271","AAPL",2001-01-29,0.34933,0.388393,0.34933,0.387277,855528800,0.331129
"272","AAPL",2001-01-30,0.385045,0.392857,0.372768,0.388393,692423200,0.332083
"273","AAPL",2001-01-31,0.383929,0.401786,0.382813,0.386161,730704800,0.330175
"274","AAPL",2001-02-01,0.36942,0.383929,0.366071,0.377232,369695200,0.32254
"275","AAPL",2001-02-02,0.377232,0.391741,0.366071,0.368304,427341600,0.314907
"276","AAPL",2001-02-05,0.366071,0.367188,0.352679,0.360491,286115200,0.308226
"277","AAPL",2001-02-06,0.359933,0.381975,0.357143,0.377232,462711200,0.32254
"278","AAPL",2001-02-07,0.368862,0.372768,0.353795,0.370536,393887200,0.316815
"279","AAPL",2001-02-08,0.367188,0.376116,0.360491,0.370536,604128000,0.316815
"280","AAPL",2001-02-09,0.366071,0.371652,0.333705,0.341518,590083200,0.292004
"281","AAPL",2001-02-12,0.340402,0.357143,0.335938,0.351563,274120000,0.300593
"282","AAPL",2001-02-13,0.356027,0.364955,0.339286,0.341518,237070400,0.292004
"283","AAPL",2001-02-14,0.342634,0.350446,0.330357,0.348214,309120000,0.297729
"284","AAPL",2001-02-15,0.351563,0.367188,0.351563,0.358259,311416000,0.306318
"285","AAPL",2001-02-16,0.339286,0.348214,0.334821,0.339286,263911200,0.290096
"286","AAPL",2001-02-20,0.342634,0.347098,0.324777,0.327009,314893600,0.279599
"287","AAPL",2001-02-21,0.325893,0.356027,0.325893,0.337054,390258400,0.288187
"288","AAPL",2001-02-22,0.340402,0.345982,0.321429,0.335938,431961600,0.287233
"289","AAPL",2001-02-23,0.332589,0.337054,0.325893,0.335938,293865600,0.287233
"290","AAPL",2001-02-26,0.340402,0.351563,0.331473,0.348214,206438400,0.297729
"291","AAPL",2001-02-27,0.344308,0.347098,0.333705,0.345982,348516000,0.295821
"292","AAPL",2001-02-28,0.345982,0.347098,0.323661,0.325893,508233600,0.278644
"293","AAPL",2001-03-01,0.31808,0.334821,0.30692,0.334821,330461600,0.286278
"294","AAPL",2001-03-02,0.327009,0.364955,0.325893,0.34375,406201600,0.293913
"295","AAPL",2001-03-05,0.345982,0.366071,0.34375,0.363839,324172800,0.311089
"296","AAPL",2001-03-06,0.369978,0.393973,0.36942,0.383929,731802400,0.328266
"297","AAPL",2001-03-07,0.38058,0.386161,0.370536,0.379464,419540800,0.324449
"298","AAPL",2001-03-08,0.36942,0.377232,0.364955,0.371652,204859200,0.317769
"299","AAPL",2001-03-09,0.368304,0.36942,0.357143,0.361607,299135200,0.30918
"300","AAPL",2001-03-12,0.351563,0.354911,0.323661,0.332589,391020000,0.28437
"301","AAPL",2001-03-13,0.337054,0.34933,0.324777,0.34933,443329600,0.298683
"302","AAPL",2001-03-14,0.330357,0.366071,0.329241,0.364955,477775200,0.312043
"303","AAPL",2001-03-15,0.372768,0.381696,0.351563,0.351563,529317600,0.300593
"304","AAPL",2001-03-16,0.339286,0.362723,0.337054,0.350446,470316000,0.299638
"305","AAPL",2001-03-19,0.352679,0.368304,0.348214,0.367188,356008800,0.313952
"306","AAPL",2001-03-20,0.369978,0.373884,0.351563,0.351563,499206400,0.300593
"307","AAPL",2001-03-21,0.353237,0.372768,0.345982,0.359375,371375200,0.307272
"308","AAPL",2001-03-22,0.363839,0.388393,0.360491,0.386161,723301600,0.330175
"309","AAPL",2001-03-23,0.393973,0.420759,0.392857,0.410714,944888000,0.351168
"310","AAPL",2001-03-26,0.413036,0.424107,0.377321,0.388929,734451200,0.332541
"311","AAPL",2001-03-27,0.391786,0.411607,0.391071,0.408393,543821600,0.349183
"312","AAPL",2001-03-28,0.394286,0.401786,0.383929,0.395893,584662400,0.338496
"313","AAPL",2001-03-29,0.38875,0.41875,0.383929,0.402321,613065600,0.343992
"314","AAPL",2001-03-30,0.402679,0.405714,0.381071,0.394107,400349600,0.336969
"315","AAPL",2001-04-02,0.394464,0.404643,0.382143,0.385536,340911200,0.32964
"316","AAPL",2001-04-03,0.381429,0.382143,0.359464,0.361429,368687200,0.309028
"317","AAPL",2001-04-04,0.352857,0.361607,0.334821,0.348214,685484800,0.297729
"318","AAPL",2001-04-05,0.367857,0.401786,0.357143,0.372679,446762400,0.318647
